Ełk+Szyba+Wschód;5101040
Ełk+Zachód;5101041
Fałkowo;5101045
Fasty;5101046
Firlus;5101048
Fiszewo;5101054
Fosowskie;5100101
Fronołów;5101050
Frysztak;5101049
Gajówka;5101063
Gałęzinowo;5104430
Gałkówek;5101064
Gamerki+Wielkie;5101066
Garbatka-Letnisko;5101072
Garbce;5101056
Garczegorze;5101103
Garczyn;5101075
Gardeja;5101112
Garki;5101164
Garwolin;5101067
Garzyn;5101076
Gawrony;5101305
Gąbin;5101081
Gądki;5101058
Gądków+Wielki;5101171
Gągławki;5101060
Gąsawy+Plebańskie;5101069
Gąsocin;5101071
Gdakowo;5101105
Gdańsk+Główny;5100009
Gdańsk+Lipce;5101114
Gdańsk+Matarnia;
Gdańsk+Oliwa;5101104
Gdańsk+Orunia;5101116
Gdańsk+Osowa;
Gdańsk+Politechnika;5101117
Gdańsk+Port+Lotniczy;
Gdańsk+Przymorze-Uniwersytet;5101242
Gdańsk+Stocznia;5101266
Gdańsk+Wrzeszcz;
Gdańsk+Zaspa;5101127
Gdańsk+Żabianka+AWFiS;5101317
Gdynia+Chylonia;5101091
Gdynia+Cisowa;5104585
Gdynia+Główna+(Osobowa);5100010
Gdynia+Grabówek;5101110
Gdynia+Leszczynki;5101311
Gdynia+Orłowo;5101118
Gdynia+Redłowo;5101126
Gdynia+Stocznia-Uniwersytet+Morski;5101120
Gdynia+Wielki+Kack;5101124
Gdynia+Wzgórze+Świętego+Maksymiliana;5101304
Geniusze;5101149
Gębarzewo;5101128
Gierałtów;5101154
Gierałtów+Wykroty;5101155
Gierwaty;5101151
Gilów;5101146
Giżycko;5100102
Gliniczek;5101203
Gliniszcze;5101213
Gliwice;5100011
Gliwice+Kuźnica;5101180
Gliwice+Łabędy;5101181
Głębokie+Międzyrzeckie;5101177
Głogów;5100012
Głogów+Huta;5101179
Głogów+Małopolski;5101178
Głogów+Małopolski+Południowy;5101183
Głogów+Wróblin;5104129
Głogówek;5101142
Głogówko;5101137
Głowaczewo;5101297
Głuchołazy;5101331
Głuchów;5101176
Głuszyno+Pomorskie;5101185
Gniewczyna;5101202
Gniewkowo;5101205
Gniezno;5100013
Goczałkowice;5101092
Goczałkowice-Zdrój;5101224
Goczałków;5101098
Godętowo;5101217
Godki;5101232
Godków;5100103
Godurowo;5101291
Gogolewo;5101220
Gogolin;5101140
Gola;5101225
Goleniów;5100105
Goleszów;5101277
Goleszów+Górny;5101139
Golęczewo;5101100
Golina;5101214
Goliszów;5101152
Gołańcz;5101319
Gołaszewo+Kujawskie;5101170
Gołąb;5101175
Gołąb+[dawna+lokalizacja];5101175
Gołotczyzna;5101187
Gołubie+Kaszubskie;5101160
Gomunice;5101226
Goniądz;5101147
Gorlice+Zagórzany;5101322
Gorzanów;5101327
Gorzędów;5101320
Gorzkowice;5101324
Gorzów+Chrzanowski;5101097
Gorzów+Wielkopolski;5100014
Gorzów+Wielkopolski+Karnin;5101303
Gorzów+Wielkopolski+Wieprzyce;5100106
Gorzów+Wielkopolski+Wschodni;5104796
Gorzów+Wielkopolski+Zamoście;5101326
Gorzów+Wielkopolski+Zieleniec;5101321
Gorzuchowo+Chełmińskie;5101221
Gorzupia;5101329
Gorzyca;5101310
Gostynin;5101279
Gostyń;5101236
Goszcza;5101268
Gościcino+Wejherowskie;5101302
Gościszewo;5101096
Gośniewice;5101269
Goświnowice;5101235
Goworowo;5101306
Góra;5101219
Górażdże;5101059
Górka+Duchowna;5101107
Górki+Noteckie;5101169
Górki+Pomorskie;5101239
Górki+Szczukowskie;5101274
Górki+Śląskie;5101168
Górna+Grupa;5101233
Górowo;5101228
Górzyca;5101310
Górzyniec;5101312
Grabiny;5101089
Grabowno+Wielkie;5101082
Grabowo;5101085
Grabów+nad+Pilicą;5101086
Grabów+Szlachecki;5101079
Grajewo;5101158
Gralewo;5101189
Granowiec;5101073
Granowo+Nowotomyskie;5101207
Grąblewo;
Gregorowce;5101259
Grębocice;5101130
Grębocin;5101131
Gręboszów;5101090
Grębów;5101247
Grodzie;5101111
Grodziec+Mały;5101193
Grodziec+Śląski;5101125
Grodzisk+Mazowiecki;5101255
Grodzisk+Mazowiecki+Jordanowice;5101194
Grodzisk+Mazowiecki+Okrężna;5101196
Grodzisk+Mazowiecki+Piaskowa;5101197
Grodzisk+Mazowiecki+Radońska;5101198
Grodzisk+Wielkopolski;5101263
Grodzisko+Dolne;5101162
Grodziszcze+Mazowieckie;5101332
Grom;5101257
Gromnik;5101256
Gronajny;5101204
Gronowo+Elbląskie;5101129
Grotniki;5101251
Grudze;5101284
Grudziądz;5101296
Grudziądz+Mniszek;5101195
Grudziądz+Owczarki;5101108
Grudziądz+Przedmieście;5101258
